Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
10/14/2016,254,302,0,113,131,48.86,367
7/29/2016,248,278,0,96,116,54.31,344
5/20/2016,282,319,3.45,101,122,40.98,383
8/26/2015,373,405,4.69,,,,
1/25/2016,400,471,5.94,,,,
6/19/2016,140,151,5.3,25,28,60.71,165
7/11/2016,347,394,0,196,221,36.65,543
3/16/2017,376,426,11.03,152,181,35.91,528
1/8/2017,118,131,9.16,33,38,39.47,151
8/20/2017,113,118,15.25,68,71,29.58,181
3/28/2016,468,509,2.36,129,146,39.04,597
8/25/2014,194,244,50.82,,,,
11/19/2016,135,153,0,33,39,30.77,168
12/10/2015,272,337,4.15,,,,
8/3/2018,460,503,26.84,202,215,24.19,662
7/5/2014,46,50,42,,,,
1/11/2017,381,446,15.25,141,160,40.62,522
1/8/2018,476,540,16.48,258,295,28.14,734
11/7/2017,482,549,16.39,286,332,34.34,768
3/26/2015,280,326,4.91,,,,
12/3/2017,197,250,28,97,107,28.97,294
2/5/2018,572,667,18.44,315,358,29.33,887
8/9/2017,380,429,16.78,196,224,38.84,576
11/25/2016,110,118,0,45,48,35.42,155
2/4/2018,206,225,21.33,119,131,24.43,325
9/27/2015,148,162,6.17,,,,
7/11/2014,115,142,55.63,,,,
7/14/2017,334,393,13.74,1030,1099,54.78,1364
7/27/2017,355,413,12.59,210,238,35.29,565
10/3/2015,118,131,5.34,,,,
12/22/2017,261,298,14.77,101,112,33.93,362
6/30/2017,280,314,14.01,123,146,34.93,403
12/2/2017,210,235,17.45,91,99,32.32,301
4/25/2017,390,444,11.71,188,216,33.8,578
12/4/2015,293,352,6.53,,,,
5/23/2017,366,424,12.74,187,208,41.35,553
7/21/2017,294,360,13.61,173,197,37.06,467
11/10/2016,331,376,0.27,136,165,44.24,467
2/11/2018,210,239,28.03,153,174,21.84,363
8/31/2014,50,55,50.91,,,,
12/30/2016,162,183,1.64,34,34,38.24,196
11/12/2017,217,260,16.15,115,151,28.48,332
5/5/2017,301,358,12.01,122,141,41.84,423
12/25/2016,86,89,3.37,22,27,44.44,108
1/10/2017,340,400,7.75,133,153,37.91,473
3/10/2017,376,441,14.74,112,130,37.69,488
11/17/2017,360,449,16.48,213,247,30.36,573
5/20/2017,121,132,15.15,39,45,24.44,160
7/25/2017,401,454,11.67,235,261,33.72,636
2/21/2018,585,670,21.64,329,368,29.62,914
5/12/2017,279,314,13.69,111,118,35.59,390
3/23/2017,372,416,9.38,171,192,38.54,543
9/7/2016,337,387,0,170,208,45.67,507
11/19/2017,185,210,17.14,90,97,37.11,275
9/13/2014,51,58,62.07,,,,
7/25/2014,103,127,37.8,,,,
7/23/2017,121,136,13.97,70,75,34.67,191
1/6/2018,150,165,28.48,68,78,29.49,218
11/28/2015,92,103,4.85,,,,
4/1/2015,282,325,6.77,,,,
2/9/2017,401,465,7.1,168,208,41.83,569
6/21/2014,58,63,60.32,,,,
3/1/2017,387,426,8.45,150,178,39.89,537
2/15/2018,527,605,23.64,295,339,27.73,822
8/8/2017,405,470,13.19,181,205,33.66,586
3/13/2015,284,329,3.04,,,,
4/29/2015,339,393,6.36,,,,
8/5/2017,133,154,14.29,58,62,29.03,191
8/15/2017,354,395,13.92,184,206,38.35,538
11/2/2017,424,484,19.21,199,242,24.38,623
11/11/2015,349,385,5.19,,,,
8/6/2017,133,157,21.66,75,89,33.71,208
7/23/2016,101,119,0,31,44,38.64,132
11/15/2016,399,468,0,166,202,42.08,565
3/22/2017,386,436,11.7,174,209,39.23,560
6/11/2014,317,400,45.5,,,,
12/16/2017,147,171,19.88,72,80,32.5,219
5/15/2017,351,424,9.67,163,197,40.61,514
4/30/2015,376,476,6.51,,,,
8/31/2017,367,409,18.83,199,236,33.47,566
4/3/2017,443,543,9.58,158,194,35.05,601
